Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities,Equity,Sector,DebtAssets,SectorThreshold,InterestCoverage,CurrentDistress,FutureDistress,ROA,ROE,OperatingMargin,NetMargin,DebtEquity,EquityRatio,CFOtoAssets,FCFtoAssets,AssetTurnover,FixedAssetRatio,CWIPRatio,InvestmentRatio
360ONE,2018,6966.0,-2772.0,22.0,14.0,16.0,-2809.0,31.0,559.0,1111.0,380.0,1053.0,8403.0,737.0,490.0,1847.0,1705.0,9567.0,9567.0,1863.0,Financial Services,0.7281279397930386,0.6585860579000697,1.8837209302325582,0,0,0.039719870387791366,0.20397208803005903,0.6175953079178885,0.22287390029325513,3.739130434782609,0.1947318908748824,-0.28974600188146754,-0.29361346294554197,0.17821678687153758,0.0032403052158461376,0.0022995714435037106,0.11612835789693739
360ONE,2019,6103.0,1852.0,173.0,22.0,17.0,1643.0,337.0,431.0,3053.0,375.0,990.0,6200.0,749.0,538.0,2894.0,1578.0,9763.0,9763.0,2911.0,Financial Services,0.6251152309740858,0.5699367982318514,2.296983758700696,0,0,0.03841032469527809,0.1288217107523188,0.6273764258555133,0.2376425855513308,2.0965304019237374,0.2981665471678787,0.1896957902284134,0.1682884359315784,0.1616306463177302,0.03451807845948991,0.01771996312608829,0.312711256785824
360ONE,2020,8838.0,1628.0,1.0,41.0,17.0,1536.0,608.0,502.0,6512.0,201.0,823.0,5899.0,1191.0,286.0,2974.0,1521.0,13021.0,13021.0,2991.0,Financial Services,0.6787497120036864,0.5364355371222036,1.6394422310756973,0,0,0.015436602411489133,0.06720160481444333,0.5410913872452334,0.13214990138067062,2.9548645937813443,0.229705859764995,0.1250287996313647,0.11796329006988711,0.11681130481529836,0.04669380231933031,7.679901697258276e-05,0.5001151985254588
360ONE,2021,5077.0,463.0,2.0,43.0,18.0,437.0,837.0,414.0,2513.0,369.0,939.0,5386.0,834.0,485.0,2810.0,1654.0,8739.0,8739.0,2828.0,Financial Services,0.5809589197848725,0.49483524215916297,2.2681159420289854,0,0,0.042224510813594233,0.1304809052333805,0.567714631197098,0.22309552599758162,1.7952616690240453,0.3236068200022886,0.05298089026204371,0.05000572147843003,0.18926650646527063,0.09577754891864057,0.00022885913720105275,0.2875615058931228
360ONE,2022,5808.0,929.0,0.0,42.0,18.0,912.0,816.0,370.0,4072.0,578.0,1157.0,5846.0,1903.0,751.0,3006.0,2072.0,10734.0,10734.0,3024.0,Financial Services,0.5410844046953606,0.5004577719494272,3.127027027027027,0,0,0.053847587106390905,0.19113756613756613,0.5583976833976834,0.27895752895752896,1.9206349206349207,0.28172163219675794,0.08654741941494318,0.08496366685299049,0.19303148872740825,0.07602012297372834,0.0,0.37935531954536983
360ONE,2023,6784.0,-1323.0,39.0,14.0,36.0,-1395.0,880.0,167.0,3609.0,192.0,375.0,6663.0,1285.0,235.0,3086.0,630.0,11191.0,11191.0,3122.0,Financial Services,0.606201411848807,0.5279968026403932,2.245508982035928,0,1,0.017156643731570012,0.06149903907751442,0.5952380952380952,0.3047619047619048,2.1729660474055095,0.2789741756768832,-0.1182199982128496,-0.12465373961218837,0.0562952372442141,0.07863461710302921,0.0034849432579751585,0.3224912876418551
360ONE,2024,9472.0,-470.0,64.0,17.0,36.0,-571.0,940.0,222.0,5948.0,276.0,444.0,8163.0,2193.0,359.0,3414.0,780.0,15114.0,15114.0,3450.0,Financial Services,0.6267037184067752,0.5387104555966208,2.0,1,1,0.018261214767764985,0.08,0.5692307692307692,0.35384615384615387,2.7455072463768118,0.22826518459706233,-0.031096996162498346,-0.03777954214635437,0.05160778086542279,0.06219399232499669,0.004234484583829562,0.3935424110096599
360ONE,2025,11160.0,-2411.0,88.0,41.0,39.0,-2458.0,1281.0,296.0,7608.0,327.0,725.0,10791.0,1543.0,427.0,7026.0,1181.0,19768.0,19768.0,7065.0,Financial Services,0.5645487656819101,0.4799817496714868,2.449324324324324,1,1,0.016541885876163495,0.04628450106157112,0.6138865368331922,0.2768839966130398,1.5796178343949046,0.35739579117766085,-0.12196479158235532,-0.12434237150951032,0.059743019020639415,0.06480169971671389,0.004451639012545528,0.3848644273573452
3MINDIA,2018,10.0,36.0,6.0,44.0,11.0,19.0,303.0,2.0,0.0,333.0,499.0,2001.0,1234.0,508.0,1055.0,2710.0,2311.0,2311.0,1066.0,Industrials,0.004327131112072695,0.4291981712511214,249.5,0,0,0.14409346603202078,0.3123827392120075,0.1841328413284133,0.12287822878228782,0.009380863039399626,0.46127217654694935,0.015577672003461706,0.008221549112938122,1.1726525313717007,0.1311120726958027,0.0025962786672436176,0.0
3MINDIA,2019,14.0,253.0,12.0,44.0,11.0,212.0,286.0,1.0,0.0,366.0,536.0,1820.0,672.0,551.0,1422.0,3017.0,2118.0,2118.0,1433.0,Industrials,0.0066100094428706326,0.415912027714359,536.0,0,0,0.17280453257790368,0.25540823447313327,0.17765992707988068,0.12131256214782897,0.009769713886950453,0.6765816808309726,0.119452313503305,0.10009442870632672,1.4244570349386214,0.13503305004721436,0.0056657223796034,0.0
3MINDIA,2020,42.0,245.0,7.0,59.0,11.0,224.0,306.0,4.0,0.0,322.0,450.0,2058.0,578.0,433.0,1740.0,2987.0,2371.0,2371.0,1751.0,Industrials,0.017714044706874738,0.4689995126924393,112.5,0,0,0.13580767608603964,0.18389491719017703,0.15065282892534315,0.10780046869768999,0.023986293546544833,0.738506959088992,0.10333192745676929,0.09447490510333192,1.2598059890341629,0.1290594685786588,0.0029523407844791226,0.0
3MINDIA,2021,23.0,321.0,24.0,14.0,11.0,282.0,266.0,0.0,0.0,67.0,95.0,2362.0,718.0,89.0,1899.0,826.0,2652.0,2652.0,1910.0,Industrials,0.008672699849170438,0.48074602450993537,,0,0,0.02526395173453997,0.03507853403141361,0.11501210653753027,0.0811138014527845,0.012041884816753926,0.720211161387632,0.12104072398190045,0.10633484162895927,0.3114630467571644,0.10030165912518854,0.00904977375565611,0.0
3MINDIA,2022,25.0,327.0,23.0,15.0,11.0,259.0,307.0,1.0,0.0,125.0,171.0,2676.0,798.0,167.0,2172.0,993.0,3006.0,3006.0,2183.0,Industrials,0.0083166999334664,0.48523181159804935,171.0,0,0,0.041583499667332005,0.05726065048098947,0.17220543806646527,0.12588116817724068,0.011452130096197893,0.7262142381902861,0.10878243512974052,0.08616101131071191,0.33033932135728544,0.1021290751829674,0.007651363938789089,0.0
3MINDIA,2023,27.0,465.0,25.0,13.0,11.0,406.0,338.0,1.0,0.0,135.0,179.0,2352.0,1010.0,181.0,1666.0,1006.0,2714.0,2714.0,1677.0,Industrials,0.009948415622697125,0.44902158010241405,179.0,0,0,0.04974207811348563,0.08050089445438283,0.1779324055666004,0.1341948310139165,0.016100178890876567,0.6179071481208548,0.17133382461311716,0.14959469417833457,0.37067059690493737,0.12453942520265292,0.009211495946941784,0.0
AARTIIND,2015,1202.0,340.0,193.0,82.0,44.0,45.0,967.0,138.0,139.0,208.0,466.0,1639.0,719.0,255.0,972.0,2890.0,2938.0,2938.0,1016.0,Basic Materials,0.4091218515997277,0.5429159599966801,3.3768115942028984,0,0,0.07079646017699115,0.2047244094488189,0.16124567474048443,0.07197231833910035,1.1830708661417322,0.3458134785568414,0.11572498298162015,0.01531654186521443,0.9836623553437712,0.3291354663036079,0.06569094622191968,0.04731109598366236
AARTIIND,2016,1292.0,574.0,313.0,98.0,42.0,124.0,1246.0,117.0,41.0,268.0,572.0,1366.0,538.0,363.0,1096.0,3006.0,2966.0,2966.0,1138.0,Basic Materials,0.4356035064059339,0.5556359200198191,4.888888888888889,0,0,0.09035738368172623,0.23550087873462214,0.19028609447771125,0.08915502328675981,1.1353251318101933,0.38368172623061364,0.1935266351989211,0.041807147673634526,1.0134861766689143,0.4200944032366824,0.10552933243425489,0.013823331085637222
AARTIIND,2017,1564.0,470.0,270.0,123.0,41.0,-60.0,1697.0,117.0,47.0,328.0,654.0,1486.0,573.0,416.0,1321.0,3163.0,3499.0,3499.0,1362.0,Basic Materials,0.44698485281509004,0.526330321977453,5.589743589743589,0,0,0.09374106887682195,0.24082232011747431,0.20676572873853935,0.10369901991779956,1.1483113069016153,0.3892540725921692,0.1343240925978851,-0.017147756501857674,0.903972563589597,0.4849957130608745,0.07716490425835953,0.013432409259788511
AARTIIND,2018,2083.0,335.0,436.0,146.0,41.0,-279.0,1998.0,132.0,47.0,346.0,700.0,1910.0,730.0,429.0,1538.0,3806.0,4391.0,4391.0,1579.0,Basic Materials,0.47437941243452514,0.48147484030034743,5.303030303030303,0,0,0.07879754042359371,0.21912602913236226,0.1839201261166579,0.09090909090909091,1.319189360354655,0.3595991801411979,0.07629241630608062,-0.0635390571623776,0.8667729446595308,0.45502163516283306,0.09929401047597358,0.010703712138465042
AARTIIND,2019,2401.0,736.0,795.0,163.0,43.0,-55.0,2147.0,183.0,33.0,504.0,965.0,2884.0,826.0,622.0,2587.0,4168.0,5858.0,5858.0,2630.0,Basic Materials,0.4098668487538409,0.49692070806270106,5.273224043715847,0,0,0.08603618982587914,0.19163498098859316,0.23152591170825335,0.12092130518234165,0.9129277566539924,0.44895868897234553,0.12564015022191874,-0.009388869921474906,0.7115056333219529,0.36650734038921134,0.13571184704677364,0.005633321952884944
AARTIIND,2020,2098.0,1102.0,1418.0,185.0,87.0,-23.0,2468.0,125.0,37.0,547.0,977.0,2409.0,1256.0,676.0,2892.0,4186.0,6332.0,6332.0,2979.0,Basic Materials,0.3313329121920404,0.4685679240348216,7.816,0,0,0.08638660770688567,0.18361866398120175,0.23339703774486384,0.130673674151935,0.7042631755622693,0.4704674668351232,0.17403663929248261,-0.0036323436512950094,0.6610865445356917,0.3897662665824384,0.2239418825015793,0.005843335439039797
AARTIIND,2021,2857.0,873.0,1298.0,231.0,87.0,-442.0,3593.0,86.0,64.0,535.0,982.0,2688.0,1282.0,665.0,3416.0,4506.0,7642.0,7642.0,3503.0,Basic Materials,0.37385501177702174,0.3807937092375216,11.418604651162791,0,0,0.0700078513478147,0.15272623465600912,0.21793164669329781,0.11873058144695961,0.8155866400228375,0.45838785658204656,0.11423711070400419,-0.057838262235017014,0.5896362208845852,0.47016487830410886,0.16985082439152055,0.008374771002355404
AARTIIND,2022,2587.0,519.0,1346.0,246.0,181.0,-646.0,3595.0,102.0,28.0,1186.0,1720.0,2882.0,748.0,1372.0,4335.0,6086.0,7851.0,7851.0,4516.0,Basic Materials,0.32951216405553435,0.3463469120142374,16.862745098039216,0,0,0.15106355878232072,0.262621789193977,0.28261583963194215,0.1948734801183043,0.5728520814880426,0.5752133486180104,0.0661062285059228,-0.0822825117819386,0.7751878741561584,0.4579034517895809,0.17144312826391542,0.0035664246592790726
AARTIIND,2023,2907.0,1319.0,1096.0,97.0,181.0,-8.0,4861.0,54.0,17.0,124.0,259.0,2607.0,754.0,116.0,4739.0,1732.0,8581.0,8581.0,4920.0,Basic Materials,0.3387717049294954,0.34329739566415696,4.796296296296297,0,0,0.014450530241230625,0.025203252032520326,0.14953810623556582,0.07159353348729793,0.5908536585365853,0.5733597482810862,0.15371168861438061,-0.0009322922736277824,0.20184127724041487,0.5664840927630812,0.12772404148700617,0.0019811210814590376
AARTIIND,2024,3623.0,1210.0,1229.0,111.0,181.0,-96.0,5649.0,85.0,23.0,46.0,231.0,3214.0,1203.0,40.0,5109.0,1843.0,10115.0,10115.0,5290.0,Basic Materials,0.3581809194265942,0.37600034058289106,2.7176470588235295,0,0,0.004547701433514582,0.008695652173913044,0.12533912099837222,0.024959305480195332,0.6848771266540643,0.522985664854177,0.11962432031636185,-0.00949085516559565,0.18220464656450816,0.558477508650519,0.12150271873455265,0.002273850716757291
AARTIIND,2025,3848.0,1242.0,1454.0,121.0,181.0,-137.0,6377.0,69.0,48.0,133.0,321.0,3235.0,1661.0,118.0,5424.0,2318.0,11114.0,11114.0,5605.0,Basic Materials,0.34622998020514667,0.372622190224782,4.6521739130434785,0,0,0.01196688860896167,0.023728813559322035,0.13848144952545297,0.05737704918032787,0.6865298840321142,0.5043188770919561,0.11175094475436387,-0.012326795033291343,0.20856577289904624,0.5737808169875832,0.1308259852438366,0.004318877091956092
ABB,2011,0.0,120.0,74.0,80.0,42.0,-34.0,1195.0,46.0,17.0,185.0,356.0,5033.0,3784.0,268.0,2492.0,7449.0,6319.0,6319.0,2534.0,Industrials,0.0,0.0,7.739130434782608,0,0,0.0292767843013135,0.07300710339384373,0.04779164988589072,0.02483554839575782,0.0,0.40101281848393733,0.018990346573824972,-0.005380598195917075,1.178825763570185,0.18911220129767367,0.011710713720525399,0.0026902990979585377
ABB,2012,328.0,-44.0,117.0,94.0,42.0,-218.0,1234.0,57.0,17.0,141.0,355.0,5137.0,3575.0,211.0,2559.0,7608.0,6504.0,6504.0,2601.0,Industrials,0.05043050430504305,0.05043050430504305,6.228070175438597,0,0,0.021678966789667898,0.05420991926182238,0.046661409043112514,0.018533123028391166,0.1261053440984237,0.39990774907749077,-0.006765067650676507,-0.03351783517835178,1.169741697416974,0.18972939729397295,0.017988929889298892,0.0026137761377613778
ABB,2019,328.0,-44.0,117.0,22.0,42.0,-218.0,1234.0,10.0,17.0,130.0,124.0,5137.0,3575.0,173.0,2559.0,1726.0,6504.0,6504.0,2601.0,Industrials,0.05043050430504305,0.415912027714359,12.4,0,0,0.01998769987699877,0.049980776624375244,0.07184241019698726,0.07531865585168018,0.1261053440984237,0.39990774907749077,-0.006765067650676507,-0.03351783517835178,0.26537515375153753,0.18972939729397295,0.017988929889298892,0.0026137761377613778
ABB,2022,328.0,-44.0,117.0,26.0,42.0,-218.0,1234.0,3.0,17.0,146.0,200.0,5137.0,3575.0,196.0,2559.0,2098.0,6504.0,6504.0,2601.0,Industrials,0.05043050430504305,0.48523181159804935,66.66666666666667,0,0,0.022447724477244774,0.05613225682429835,0.09532888465204957,0.06959008579599618,0.1261053440984237,0.39990774907749077,-0.006765067650676507,-0.03351783517835178,0.3225707257072571,0.18972939729397295,0.017988929889298892,0.0026137761377613778
ABB,2024,52.0,1332.0,95.0,34.0,42.0,1118.0,1062.0,5.0,2.0,528.0,657.0,11233.0,5264.0,702.0,7033.0,3365.0,12391.0,12391.0,7075.0,Industrials,0.004196594302316197,0.34243406953256533,131.4,0,0,0.042611572915826006,0.07462897526501767,0.19524517087667162,0.15690936106983655,0.00734982332155477,0.5709789363247518,0.10749737712856106,0.09022677749979824,0.2715680736018078,0.08570736825115002,0.00766685497538536,0.0001614074731660076
ABB,2025,85.0,1220.0,116.0,39.0,42.0,980.0,1195.0,5.0,2.0,433.0,527.0,12326.0,5718.0,571.0,7794.0,3423.0,13638.0,13638.0,7836.0,Industrials,0.0062325854230825635,0.3231060226568763,105.4,0,0,0.03174952339052647,0.05525778458397142,0.15395851592170612,0.12649722465673385,0.010847371107708014,0.5745710514738231,0.08945593195483209,0.0718580437014225,0.2509898812142543,0.08762281859510192,0.00850564598914797,0.00014664906877841325
ABDL,2020,1058.0,595.0,48.0,69.0,47.0,548.0,636.0,180.0,0.0,13.0,234.0,1730.0,983.0,0.0,326.0,2996.0,2414.0,2414.0,373.0,Consumer Defensive,0.4382767191383596,0.37373438230959155,1.3,0,0,0.005385252692626346,0.03485254691689008,0.07810413885180241,0.0043391188251001335,2.836461126005362,0.15451532725766362,0.24647887323943662,0.22700911350455674,1.2410936205468104,0.2634631317315659,0.01988400994200497,0.0
ABDL,2021,981.0,247.0,17.0,59.0,47.0,212.0,649.0,142.0,22.0,3.0,195.0,1620.0,952.0,13.0,328.0,2348.0,2308.0,2308.0,375.0,Consumer Defensive,0.42504332755632585,0.3761646646786928,1.3732394366197183,0,0,0.0012998266897746968,0.008,0.08304940374787052,0.0012776831345826234,2.616,0.16247833622183708,0.10701906412478336,0.09185441941074524,1.0173310225303294,0.28119584055459274,0.007365684575389948,0.009532062391681109
ABDL,2022,863.0,179.0,15.0,59.0,47.0,124.0,692.0,146.0,0.0,1.0,197.0,1548.0,988.0,4.0,357.0,2686.0,2255.0,2255.0,404.0,Consumer Defensive,0.3827050997782705,0.36818621918202465,1.3493150684931507,0,0,0.0004434589800443459,0.0024752475247524753,0.07334326135517498,0.00037230081906180194,2.136138613861386,0.17915742793791575,0.07937915742793791,0.054988913525498895,1.191130820399113,0.30687361419068737,0.0066518847006651885,0.0
ABDL,2023,793.0,230.0,14.0,14.0,49.0,210.0,575.0,46.0,0.0,-4.0,59.0,1910.0,1301.0,-3.0,357.0,895.0,2500.0,2500.0,406.0,Consumer Defensive,0.3172,0.39342292927625055,1.2826086956521738,0,0,-0.0016,-0.009852216748768473,0.0659217877094972,-0.004469273743016759,1.9532019704433496,0.1624,0.092,0.084,0.358,0.23,0.0056,0.0
ABDL,2024,835.0,186.0,16.0,13.0,49.0,141.0,635.0,27.0,0.0,57.0,117.0,1995.0,1403.0,80.0,358.0,974.0,2645.0,2645.0,407.0,Consumer Defensive,0.31568998109640833,0.39435191846879253,4.333333333333333,0,0,0.02155009451795841,0.14004914004914004,0.12012320328542095,0.058521560574948665,2.0515970515970516,0.15387523629489602,0.07032136105860114,0.05330812854442344,0.368241965973535,0.24007561436672967,0.0060491493383742915,0.0
ABDL,2025,905.0,-678.0,19.0,18.0,56.0,-806.0,749.0,26.0,0.0,64.0,136.0,2765.0,1086.0,89.0,1487.0,1003.0,3534.0,3534.0,1543.0,Consumer Defensive,0.2560837577815506,0.3122893189244406,5.230769230769231,0,0,0.018109790605546124,0.04147764095917045,0.13559322033898305,0.06380857427716849,0.5865197666882696,0.4366157328805886,-0.19185059422750425,-0.22807017543859648,0.28381437464629317,0.21194114318053198,0.005376344086021506,0.0
ABFRL,2019,1703.0,528.0,22.0,282.0,773.0,248.0,2555.0,225.0,4.0,321.0,593.0,4039.0,3489.0,149.0,655.0,8118.0,6621.0,6621.0,1428.0,Consumer Cyclical,0.2572119015254493,0.43765350450193874,2.6355555555555554,0,0,0.048482102401449935,0.22478991596638656,0.07304754865730476,0.03954175905395418,1.192577030812325,0.21567739012233803,0.07974626189397371,0.03745657755626038,1.226098776619846,0.38589336958163417,0.003322760912248905,0.0006041383476816191
ABFRL,2020,5285.0,644.0,48.0,885.0,774.0,332.0,4940.0,469.0,14.0,-165.0,1259.0,4756.0,3406.0,-33.0,294.0,8788.0,9758.0,9758.0,1068.0,Consumer Cyclical,0.5416068866571019,0.4952765119284006,2.6844349680170576,0,0,-0.016909202705472432,-0.1544943820224719,0.1432635411925353,-0.018775603095129722,4.948501872659176,0.1094486575117852,0.06599713055954089,0.03402336544373847,0.9005943840951015,0.506251281000205,0.0049190407870465256,0.0014347202295552368
ABFRL,2021,3600.0,1104.0,38.0,963.0,915.0,945.0,5627.0,530.0,418.0,-736.0,583.0,3966.0,3805.0,-838.0,1729.0,5249.0,10049.0,10049.0,2644.0,Consumer Cyclical,0.3582446014528809,0.4862601141635726,1.1,0,0,-0.07324111851925565,-0.2783661119515885,0.11106877500476281,-0.14021718422556678,1.361573373676248,0.2631107572892825,0.10986167777888348,0.09403920788138123,0.5223405313961588,0.5599562145487114,0.0037814707931137425,0.04159617872425117
ABFRL,2022,4100.0,951.0,103.0,997.0,938.0,632.0,6059.0,389.0,684.0,-118.0,1138.0,5348.0,5321.0,-145.0,1835.0,8136.0,12195.0,12195.0,2773.0,Consumer Cyclical,0.33620336203362033,0.5134237367792561,2.9254498714652954,0,0,-0.00967609676096761,-0.0425531914893617,0.13987217305801378,-0.014503441494591937,1.4785430941218896,0.22738827388273883,0.07798277982779828,0.05182451824518245,0.6671586715867158,0.4968429684296843,0.008446084460844609,0.05608856088560885
ABFRL,2023,6573.0,636.0,204.0,444.0,949.0,-35.0,8359.0,245.0,267.0,-108.0,553.0,7960.0,6873.0,-85.0,2394.0,4167.0,16790.0,16790.0,3343.0,Consumer Cyclical,0.3914830256104824,0.5467284454939882,2.257142857142857,0,0,-0.006432400238237046,-0.03230631169608136,0.13270938324934006,-0.02591792656587473,1.9661980257253964,0.19910661107802263,0.03787969029184038,-0.002084574151280524,0.2481834425253127,0.49785586658725434,0.012150089338892198,0.01590232281119714
ABFRL,2024,9451.0,1341.0,171.0,296.0,1015.0,600.0,11879.0,151.0,985.0,-42.0,293.0,8756.0,8317.0,-59.0,3007.0,2201.0,21790.0,21790.0,4022.0,Consumer Cyclical,0.43373106929784305,0.521732526814695,1.9403973509933774,0,0,-0.00192748967416246,-0.0104425658876181,0.13312130849613812,-0.019082235347569285,2.3498259572352063,0.1845800826067003,0.06154199173932997,0.027535566773749427,0.10100963744837081,0.545158329508949,0.007847636530518587,0.04520422212023864
ABFRL,2025,5017.0,1644.0,181.0,350.0,1220.0,1051.0,9417.0,132.0,1749.0,-137.0,302.0,5046.0,4565.0,-141.0,5592.0,2374.0,16394.0,16394.0,6812.0,Consumer Cyclical,0.30602659509576674,0.45851625779672645,2.287878787878788,0,0,-0.008356715871660364,-0.020111567821491486,0.12721145745577084,-0.05770850884582982,0.7364944216089254,0.41551787239233867,0.10028059045992437,0.0641088203001098,0.1448090764913993,0.5744174698060266,0.011040624618762962,0.10668537269732829
ABLBL,2024,853.0,596.0,117.0,176.0,80.0,234.0,1940.0,96.0,342.0,60.0,333.0,3391.0,1903.0,83.0,3276.0,2138.0,7772.0,7772.0,3356.0,Consumer Cyclical,0.1097529593412249,0.521732526814695,3.46875,0,0,0.007720020586721565,0.017878426698450536,0.1557530402245089,0.02806361085126286,0.2541716328963051,0.43180648481729283,0.07668553782810088,0.0301080802882141,0.27509006690684507,0.24961399897066391,0.01505404014410705,0.04400411734431292
ABLBL,2025,2932.0,1144.0,13.0,204.0,0.05,901.0,3280.0,95.0,117.0,69.0,412.0,4869.0,4070.0,91.0,1276.0,2343.0,8279.0,8279.0,1276.05,Consumer Cyclical,0.3541490518178524,0.45851625779672645,4.336842105263158,0,0,0.00833433989612272,0.05407311625719995,0.17584293640631668,0.029449423815621,2.2977156067552214,0.15413093368764344,0.13818093972702017,0.10882956878850103,0.28300519386399325,0.39618311390264527,0.001570237951443411,0.0141321415629907
ABREL,2017,5700.0,940.0,34.0,313.0,112.0,794.0,7309.0,551.0,258.0,105.0,924.0,2734.0,2154.0,122.0,2370.0,7645.0,10336.0,10336.0,2482.0,Real Estate,0.5514705882352942,0.5517475650613957,1.676950998185118,0,0,0.010158668730650154,0.04230459307010476,0.12086330935251799,0.013734466971877043,2.296535052377115,0.24013157894736842,0.09094427244582043,0.07681888544891641,0.7396478328173375,0.7071400928792569,0.003289473684210526,0.024961300309597523
ABREL,2018,4369.0,2209.0,35.0,199.0,112.0,2056.0,7256.0,212.0,223.0,372.0,805.0,2817.0,3214.0,532.0,2636.0,3898.0,10331.0,10331.0,2748.0,Real Estate,0.4229019456006195,0.45912539997586954,3.797169811320755,0,0,0.036008130868260574,0.13537117903930132,0.20651616213442792,0.09543355566957414,1.5898835516739447,0.2659955473816668,0.21382247604297744,0.19901268028264446,0.377311005710967,0.7023521440325234,0.0033878617752395703,0.02158551931081212
ABREL,2019,1020.0,548.0,275.0,193.0,112.0,472.0,4430.0,102.0,183.0,6063.0,951.0,1287.0,1861.0,6330.0,3182.0,3944.0,6175.0,6175.0,3294.0,Real Estate,0.1651821862348178,0.4424747592244776,9.323529411764707,0,0,0.9818623481781377,1.8406193078324227,0.24112576064908722,1.5372718052738337,0.30965391621129323,0.5334412955465587,0.08874493927125505,0.07643724696356276,0.6387044534412956,0.7174089068825911,0.044534412955465584,0.02963562753036437
