Ticker,Sector
360ONE,Financial Services
3MINDIA,Industrials
AARTIIND,Basic Materials
ABB,Industrials
ABDL,Consumer Defensive
ABFRL,Consumer Cyclical
ABLBL,Consumer Cyclical
ABREL,Real Estate
ABSLAMC,Financial Services
ACC,Basic Materials
ACE,Industrials
ACMESOLAR,Utilities
ACUTAAS,Basic Materials
ADANIENSOL,Utilities
ADANIENT,Energy
ADANIGREEN,Utilities
ADANIPORTS,Industrials
ADANIPOWER,Utilities
AEGISLOG,Energy
AEGISVOPAK,Energy
AFCONS,Industrials
AFFLE,Communication Services
AIAENG,Industrials
AJANTPHARM,Healthcare
ALKEM,Healthcare
AMBER,Consumer Cyclical
AMBUJACEM,Basic Materials
ANANDRATHI,Financial Services
ANANTRAJ,Real Estate
ANGELONE,Financial Services
ANTHEM,Healthcare
ANURAS,Basic Materials
APARINDS,Industrials
APLAPOLLO,Basic Materials
APOLLOHOSP,Healthcare
APOLLOTYRE,Consumer Cyclical
ARE&M,Industrials
ASAHIINDIA,Consumer Cyclical
ASHOKLEY,Industrials
ASIANPAINT,Basic Materials
ASTERDM,Healthcare
ASTRAL,Industrials
ATGL,Utilities
ATUL,Basic Materials
AUROPHARMA,Healthcare
AWL,Consumer Defensive
BAJAJ-AUTO,Consumer Cyclical
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BALKRISIND,Consumer Cyclical
BALRAMCHIN,Consumer Defensive
BATAINDIA,Consumer Cyclical
BAYERCROP,Basic Materials
BBTC,Consumer Defensive
BEL,Industrials
BELRISE,Consumer Cyclical
BEML,Industrials
BERGEPAINT,Basic Materials
BHARATFORG,Consumer Cyclical
BHARTIARTL,Communication Services
BHEL,Industrials
BIKAJI,Consumer Defensive
BIOCON,Healthcare
BLS,Industrials
BLUEDART,Industrials
BLUEJET,Healthcare
BLUESTARCO,Industrials
BOSCHLTD,Consumer Cyclical
BPCL,Energy
BRIGADE,Real Estate
BRITANNIA,Consumer Defensive
BSE,Financial Services
BSOFT,Technology
CAMS,Technology
CAPLIPOINT,Healthcare
CARBORUNIV,Industrials
CARTRADE,Consumer Cyclical
CCL,Consumer Defensive
CDSL,Financial Services
CEATLTD,Consumer Cyclical
CEMPRO,Industrials
CESC,Utilities
CGPOWER,Industrials
CHALET,Consumer Cyclical
CHAMBLFERT,Basic Materials
CHENNPETRO,Energy
CHOICEIN,Financial Services
CIEINDIA,Consumer Cyclical
CIPLA,Healthcare
CLEAN,Basic Materials
COALINDIA,Energy
COCHINSHIP,Industrials
COFORGE,Technology
COHANCE,Healthcare
COLPAL,Consumer Defensive
CONCOR,Industrials
CONCORDBIO,Healthcare
COROMANDEL,Basic Materials
CPPLUS,Industrials
CRAFTSMAN,Consumer Cyclical
CRISIL,Financial Services
CROMPTON,Consumer Cyclical
CUMMINSIND,Industrials
CYIENT,Industrials
DABUR,Consumer Defensive
DALBHARAT,Basic Materials
DCMSHRIRAM,Industrials
DEEPAKFERT,Basic Materials
DEEPAKNTR,Basic Materials
DELHIVERY,Industrials
DEVYANI,Consumer Cyclical
DIVISLAB,Healthcare
DIXON,Technology
DLF,Real Estate
DMART,Consumer Defensive
DOMS,Industrials
DRREDDY,Healthcare
ECLERX,Technology
EICHERMOT,Consumer Cyclical
EIDPARRY,Basic Materials
EIHOTEL,Consumer Cyclical
ELECON,Industrials
ELGIEQUIP,Industrials
EMAMILTD,Consumer Defensive
EMCURE,Healthcare
EMMVEE,Technology
ENDURANCE,Consumer Cyclical
ENGINERSIN,Industrials
ERIS,Healthcare
ESCORTS,Industrials
ETERNAL,Consumer Cyclical
EXIDEIND,Consumer Cyclical
FACT,Basic Materials
FINCABLES,Industrials
