Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
360ONE,2023,,,,14,,,,167,,192,375,,,235,,630,,
360ONE,2024,,,,17,,,,222,,276,444,,,359,,780,,
360ONE,2025,,,,41,,,,296,,327,725,,,427,,1181,,
360ONE,2023,,,,13,,,,125,,184,353,,,224,,573,,
360ONE,2024,,,,16,,,,214,,244,577,,,345,,849,,
360ONE,2025,,,,32,,,,229,,285,566,,,374,,911,,
360ONE,2018,6966,-2772,22,14,16,-2809,31,559,1111,380,1053,8403,737,490,1847,1705,9567,9567
360ONE,2019,6103,1852,173,22,17,1643,337,431,3053,375,990,6200,749,538,2894,1578,9763,9763
360ONE,2020,8838,1628,1,41,17,1536,608,502,6512,201,823,5899,1191,286,2974,1521,13021,13021
360ONE,2021,5077,463,2,43,18,437,837,414,2513,369,939,5386,834,485,2810,1654,8739,8739
360ONE,2022,5808,929,0,42,18,912,816,370,4072,578,1157,5846,1903,751,3006,2072,10734,10734
360ONE,2023,6784,-1323,39,12,36,-1395,880,108,3609,155,272,6663,1285,200,3086,482,11191,11191
360ONE,2024,9472,-470,64,17,36,-571,940,207,5948,243,286,8163,2193,323,3414,791,15114,15114
360ONE,2025,11160,-2411,88,20,39,-2458,1281,218,7608,250,461,10791,1543,324,7026,821,19768,19768
360ONE,2026,15931,-2921,0,43,41,-3017,3969,312,8842,289,663,14389,1434,363,9795,1115,27201,27201
360ONE,2023,,,,14,,,,146,,186,313,,,227,,550,,
360ONE,2024,,,,17,,,,232,,245,541,,,319,,865,,
360ONE,2025,,,,39,,,,254,,315,697,,,413,,1098,,
3MINDIA,2021,,,,14,,,,0,,67,95,,,89,,826,,
3MINDIA,2022,,,,15,,,,1,,125,171,,,167,,993,,
3MINDIA,2023,,,,13,,,,1,,135,179,,,181,,1006,,
3MINDIA,2021,,,,15,,,,1,,30,48,,,41,,744,,
3MINDIA,2022,,,,14,,,,1,,84,116,,,113,,944,,
3MINDIA,2023,,,,14,,,,1,,129,173,,,173,,1050,,
3MINDIA,2024,,,,14,,,,3,,157,205,,,211,,1047,,
